adsorbate,adsorbate_name,config,e_int_dft,e_int_ave
A01,1-CH2OH-CHOH-CH2OH,0,-0.634602,-0.4123192
A01,1-CH2OH-CHOH-CH2OH,1,-0.153924,-0.4123192
A01,1-CH2OH-CHOH-CH2OH,2,-0.334544,-0.4123192
A01,1-CH2OH-CHOH-CH2OH,3,-0.344644,-0.4123192
A01,1-CH2OH-CHOH-CH2OH,4,-0.593882,-0.4123192
A02,2-CH2OH-COH-CH2OH,0,-0.249062,-0.3927294
A02,2-CH2OH-COH-CH2OH,1,-0.470818,-0.3927294
A02,2-CH2OH-COH-CH2OH,2,-0.620372,-0.3927294
A02,2-CH2OH-COH-CH2OH,3,-0.257312,-0.3927294
A02,2-CH2OH-COH-CH2OH,4,-0.366083,-0.3927294
A03,3-CHOH-COH-CH2OH,0,-0.449288,-0.5575152
A03,3-CHOH-COH-CH2OH,1,-0.849352,-0.5575152
A03,3-CHOH-COH-CH2OH,2,-0.65104,-0.5575152
A03,3-CHOH-COH-CH2OH,3,-0.367097,-0.5575152
A03,3-CHOH-COH-CH2OH,4,-0.470799,-0.5575152
A04,4-CHOH-COH-CHOH,0,-0.509041,-0.7683232
A04,4-CHOH-COH-CHOH,1,-0.915251,-0.7683232
A04,4-CHOH-COH-CHOH,2,-0.768652,-0.7683232
A04,4-CHOH-COH-CHOH,3,-0.945466,-0.7683232
A04,4-CHOH-COH-CHOH,4,-0.703206,-0.7683232
A05,5-COH-COH-CHOH,0,-0.406851,-0.606316
A05,5-COH-COH-CHOH,1,-0.675673,-0.606316
A05,5-COH-COH-CHOH,2,-0.722688,-0.606316
A05,5-COH-COH-CHOH,3,-0.511352,-0.606316
A05,5-COH-COH-CHOH,4,-0.715016,-0.606316
A06,6-COH-COH-COH,0,-0.260127,-0.436212
A06,6-COH-COH-COH,1,-0.319536,-0.436212
A06,6-COH-COH-COH,2,-0.581361,-0.436212
A06,6-COH-COH-COH,3,-0.353383,-0.436212
A06,6-COH-COH-COH,4,-0.666653,-0.436212
A07,7-CO-COH-CO,0,-0.68129,-0.5747688
A07,7-CO-COH-CO,1,-0.593841,-0.5747688
A07,7-CO-COH-CO,2,-0.52712,-0.5747688
A07,7-CO-COH-CO,3,-0.79859,-0.5747688
A07,7-CO-COH-CO,4,-0.273003,-0.5747688
A08,7-CO-COH-COH,0,-0.67638,-0.5826126
A08,7-CO-COH-COH,1,-0.900719,-0.5826126
A08,7-CO-COH-COH,2,-0.42478,-0.5826126
