adsorbate,adsorbate_name,e_int_dft,e_int_md,TS_MD,delta_F,delta_F_md
A01,1-CH2OH-CHOH-CH2OH,-0.4123192,-0.33,-0.2918,-0.1205192,-0.0382
A02,2-CH2OH-COH-CH2OH,-0.3927294,-0.28,-0.2423,-0.1504294,-0.0377
A03,3-CHOH-COH-CH2OH,-0.5575152,-0.53,-0.4272,-0.1303152,-0.1028
A04,4-CHOH-COH-CHOH,-0.7683232,-0.66,-0.5426,-0.2257232,-0.1174
A05,5-COH-COH-CHOH,-0.606316,-0.6,-0.4757,-0.130616,-0.1243
A06,6-COH-COH-COH,-0.436212,-0.35,-0.2905,-0.145712,-0.0595
A07,7-CO-COH-CO,-0.5747688,-0.48,-0.3295,-0.2452688,-0.1505
A08,7-CO-COH-COH,-0.5826126,-0.46,-0.3564,-0.2262126,-0.1036
A09,8-CHOH-CH2OH,-0.6786082,-0.5,-0.394,-0.2846082,-0.106
A10,8-CO-CHOH-CH2OH,-0.679517,-0.63,-0.5031,-0.176417,-0.1269
A11,9-CO-COH-CH2OH,-0.6236616,-0.54,-0.4284,-0.1952616,-0.1116
A12,9-COH-CH2OH,-0.4731672,-0.4,-0.3574,-0.1157672,-0.0426
A13,10-CHOH-CHOH,-0.5329984,-0.47,-0.3838,-0.1491984,-0.0862
A14,10-CO-CHOH-CHOH,-0.559132,-0.51,-0.3964,-0.162732,-0.1136
A15,11-CO-COH-CHOH,-0.723409,-0.59,-0.4473,-0.276109,-0.1427
A16,11-COH-CHOH,-0.3643464,-0.38,-0.3089,-0.0554464,-0.0711
A17,12-CO-CHOH-COH,-0.8165434,-0.64,-0.4806,-0.3359434,-0.1594
A18,13-CO-COH-COH,-0.6172314,-0.57,-0.4273,-0.1899314,-0.1427
A19,13-COH-COH,-0.7017382,-0.54,-0.3871,-0.3146382,-0.1529
A20,14-C-CHOH-CH2OH,-0.4812752,-0.35,-0.2849,-0.1963752,-0.0651
A21,14-COH-CHOH-CH2OH,-0.7780506,-0.6,-0.4851,-0.2929506,-0.1149
A22,15-CHOH-C-CHOH,-0.7408346,-0.74,-0.5354,-0.2054346,-0.2046
A23,16-C-COH-CHOH,-0.7994514,-0.61,-0.5025,-0.2969514,-0.1075
A24,17-C-CO-CH2OH,-0.3647522,-0.32,-0.2726,-0.0921522,-0.0474
A25,17-COH-CO-CH2OH,-0.9453422,-0.64,-0.491,-0.4543422,-0.149
A26,18-C-COH-COH,-0.5782058,-0.43,-0.3195,-0.2587058,-0.1105
A27,0111-OH,-0.2274892,-0.29,-0.21,-0.0174892,-0.08
A28,0211-H2O,-0.5538718,-0.56,-0.3909,-0.1629718,-0.1691
A29,1101-CH,-0.0242704,-0.07,-0.0784,0.0541296,0.0084
A30,1111-CHO,-0.1152958,-0.14,-0.1349,0.0196042,-0.0051
A31,1121-HCOO,-0.2228382,-0.26,-0.2468,0.0239618,-0.0132
A32,1122-COOH,-0.3208796,-0.34,-0.2666,-0.0542796,-0.0734
A33,1201-CH2,-0.0484886,-0.08,-0.0981,0.0496114,0.0181
